t,x,y,z,w,w_pred,v,q
10.19,-30.0,-10.175009,0.8,1.6,1.6,50.0,0.0
10.2,-30.0,-10.105005,0.8,1.6,1.6,50.0,0.0
10.21,-30.0,-10.035002,0.8,1.6,1.6,50.0,0.0
10.22,-30.0,-9.964998,0.8,1.6,1.6,50.0,0.0
10.23,-30.0,-9.894995,0.8,1.6,1.6,50.0,0.0
10.24,-30.0,-9.824991,0.8,1.6,1.6,50.0,0.0
10.25,-30.0,-9.754988,0.8,1.6,1.6,50.0,0.0
10.26,-30.0,-9.684984,0.8,1.6,1.6,50.0,0.0
10.27,-30.0,-9.614981,0.8,1.6,1.6,50.0,0.0
10.28,-30.0,-9.544977,0.8,1.6,1.6,50.0,0.0
10.29,-30.0,-9.474974,0.8,1.6,1.6,50.0,0.0
10.3,-30.0,-9.40497,0.8,1.6,1.6,50.0,0.0
10.31,-30.0,-9.334967,0.8,1.6,1.6,50.0,0.0
10.32,-30.0,-9.264963,0.8,1.6,1.6,50.0,0.0
10.33,-30.0,-9.19496,0.8,1.6,1.6,50.0,0.0
10.34,-30.0,-9.124956,0.8,1.6,1.6,50.0,0.0
10.35,-30.0,-9.054953,0.8,1.6,1.6,50.0,0.0
10.36,-30.0,-8.984949,0.8,1.6,1.6,50.0,0.0
10.37,-30.0,-8.914946,0.8,1.6,1.6,50.0,0.0
10.38,-30.0,-8.844942,0.8,1.6,1.6,50.0,0.0
10.39,-30.0,-8.774939,0.8,1.6,1.6,50.0,0.0
10.4,-30.0,-8.704935,0.8,1.6,1.6,50.0,0.0
10.41,-30.0,-8.634932,0.8,1.6,1.6,50.0,0.0
10.42,-30.0,-8.564928,0.8,1.6,1.6,50.0,0.0
10.43,-30.0,-8.494925,0.8,1.6,1.6,50.0,0.0
10.44,-30.0,-8.424921,0.8,1.6,1.6,50.0,0.0
10.45,-30.0,-8.354918,0.8,1.6,1.6,50.0,0.0
10.46,-30.0,-8.284914,0.8,1.6,1.6,50.0,0.0
10.47,-30.0,-8.214911,0.8,1.6,1.6,50.0,0.0
10.48,-30.0,-8.144907,0.8,1.6,1.6,50.0,0.0
10.49,-30.0,-8.074904,0.8,1.6,1.6,50.0,0.0
10.5,-30.0,-8.0049,0.8,1.6,1.6,50.0,0.0
10.51,-30.0,-7.934897,0.8,1.6,1.6,50.0,0.0
10.52,-30.0,-7.864893,0.8,1.6,1.6,50.0,0.0
10.53,-30.0,-7.79489,0.8,1.6,1.6,50.0,0.0
10.54,-30.0,-7.724886,0.8,1.6,1.6,50.0,0.0
10.55,-30.0,-7.654883,0.8,1.6,1.6,50.0,0.0
10.56,-30.0,-7.584879,0.8,1.6,1.6,50.0,0.0
10.57,-30.0,-7.514876,0.8,1.6,1.6,50.0,0.0
10.58,-30.0,-7.444872,0.8,1.6,1.6,50.0,0.0
10.59,-30.0,-7.374869,0.8,1.6,1.6,50.0,0.0
10.6,-30.0,-7.304865,0.8,1.6,1.6,50.0,0.0
10.61,-30.0,-7.234862,0.8,1.6,1.6,50.0,0.0
10.62,-30.0,-7.164858,0.8,1.6,1.6,50.0,0.0
10.63,-30.0,-7.094855,0.8,1.6,1.6,50.0,0.0
10.64,-30.0,-7.024851,0.8,1.6,1.6,50.0,0.0
10.65,-30.0,-6.954848,0.8,1.6,1.6,50.0,0.0
10.66,-30.0,-6.884844,0.8,1.6,1.6,50.0,0.0
10.67,-30.0,-6.814841,0.8,1.6,1.6,50.0,0.0
10.68,-30.0,-6.744837,0.8,1.6,1.6,50.0,0.0
10.69,-30.0,-6.674834,0.8,1.6,1.6,50.0,0.0
10.7,-30.0,-6.60483,0.8,1.6,1.6,50.0,0.0
10.71,-30.0,-6.534827,0.8,1.6,1.6,50.0,0.0
10.72,-30.0,-6.464823,0.8,1.6,1.6,50.0,0.0
10.73,-30.0,-6.39482,0.8,1.6,1.6,50.0,0.0
10.74,-30.0,-6.324816,0.8,1.6,1.6,50.0,0.0
10.75,-30.0,-6.254813,0.8,1.6,1.6,50.0,0.0
10.76,-30.0,-6.184809,0.8,1.6,1.6,50.0,0.0
10.77,-30.0,-6.114806,0.8,1.6,1.6,50.0,0.0
